"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 12월 31일","1,257.64","1,256.76","1,259.34","1,254.19","-","-0.02%"
"2010년 12월 30일","1,257.88","1,259.44","1,261.09","1,256.32","-","-0.15%"
"2010년 12월 29일","1,259.78","1,258.78","1,262.60","1,258.78","-","0.10%"
"2010년 12월 28일","1,258.51","1,259.10","1,259.90","1,256.22","-","0.08%"
"2010년 12월 27일","1,257.54","1,254.66","1,258.43","1,251.48","-","0.06%"
"2010년 12월 23일","1,256.77","1,257.53","1,258.59","1,254.05","-","-0.16%"
"2010년 12월 22일","1,258.84","1,254.94","1,259.39","1,254.94","-","0.34%"
"2010년 12월 21일","1,254.60","1,249.43","1,255.82","1,249.43","-","0.60%"
"2010년 12월 20일","1,247.08","1,245.76","1,250.20","1,241.51","-","0.25%"
"2010년 12월 17일","1,243.91","1,243.63","1,245.81","1,239.87","-","0.08%"
"2010년 12월 16일","1,242.87","1,236.34","1,243.75","1,232.85","-","0.62%"
"2010년 12월 15일","1,235.23","1,241.58","1,244.25","1,234.01","-","-0.51%"
"2010년 12월 14일","1,241.59","1,241.84","1,246.59","1,238.17","-","0.09%"
"2010년 12월 13일","1,240.46","1,242.52","1,246.73","1,240.34","-","0.00%"
"2010년 12월 10일","1,240.40","1,233.85","1,240.40","1,232.58","-","0.60%"
"2010년 12월 09일","1,233.00","1,230.14","1,234.71","1,226.85","-","0.38%"
"2010년 12월 08일","1,228.28","1,225.02","1,228.93","1,219.50","-","0.37%"
"2010년 12월 07일","1,223.75","1,227.25","1,235.05","1,223.25","-","0.05%"
"2010년 12월 06일","1,223.12","1,223.87","1,225.80","1,220.67","-","-0.13%"
"2010년 12월 03일","1,224.71","1,219.93","1,225.57","1,216.82","-","0.26%"
"2010년 12월 02일","1,221.53","1,206.81","1,221.89","1,206.81","-","1.28%"
"2010년 12월 01일","1,206.07","1,186.60","1,207.61","1,186.60","-","2.16%"
"2010년 11월 30일","1,180.55","1,182.96","1,187.40","1,174.14","-","-0.61%"
"2010년 11월 29일","1,187.76","1,189.08","1,190.34","1,173.64","-","-0.14%"
"2010년 11월 26일","1,189.40","1,194.16","1,194.16","1,186.93","-","-0.75%"
